,tweet_id,timestamp,rating_numerator,rating_denominator,retweet_count,favorite_count,month,year
1072,710283270106132480,2016-03-17 01:55:02+00:00,11,10,478,1994,3,2016
1073,710272297844797440,2016-03-17 01:11:26+00:00,11,10,1137,4140,3,2016
1074,710269109699739648,2016-03-17 00:58:46+00:00,13,10,1012,2192,3,2016
1075,710153181850935296,2016-03-16 17:18:07+00:00,11,10,808,2677,3,2016
1077,710117014656950272,2016-03-16 14:54:24+00:00,11,10,1778,5020,3,2016
1078,709918798883774466,2016-03-16 01:46:45+00:00,12,10,992,3221,3,2016
1079,709901256215666688,2016-03-16 00:37:03+00:00,12,10,92,608,3,2016
1080,709852847387627521,2016-03-15 21:24:41+00:00,12,10,1086,3228,3,2016
1081,709566166965075968,2016-03-15 02:25:31+00:00,12,10,1071,3253,3,2016
1082,709556954897764353,2016-03-15 01:48:55+00:00,12,10,974,3016,3,2016
1084,709449600415961088,2016-03-14 18:42:20+00:00,10,10,517,2021,3,2016
1086,709225125749587968,2016-03-14 03:50:21+00:00,11,10,521,2203,3,2016
1087,709207347839836162,2016-03-14 02:39:42+00:00,11,10,5169,11403,3,2016
1089,709179584944730112,2016-03-14 00:49:23+00:00,13,10,608,1851,3,2016
1090,709158332880297985,2016-03-13 23:24:56+00:00,10,10,363,1874,3,2016
1094,708834316713893888,2016-03-13 01:57:25+00:00,10,10,448,1549,3,2016
1095,708810915978854401,2016-03-13 00:24:26+00:00,10,10,6240,15210,3,2016
1096,708738143638450176,2016-03-12 19:35:15+00:00,11,10,737,2533,3,2016
1097,708711088997666817,2016-03-12 17:47:45+00:00,11,10,638,2333,3,2016
1098,708479650088034305,2016-03-12 02:28:06+00:00,13,10,616,2337,3,2016
1099,708469915515297792,2016-03-12 01:49:25+00:00,11,10,729,2850,3,2016
1100,708400866336894977,2016-03-11 21:15:02+00:00,12,10,9044,14644,3,2016
1101,708356463048204288,2016-03-11 18:18:36+00:00,10,10,1198,3300,3,2016
1102,708349470027751425,2016-03-11 17:50:48+00:00,11,10,676,2186,3,2016
1103,708149363256774660,2016-03-11 04:35:39+00:00,10,10,1412,3982,3,2016
1104,708130923141795840,2016-03-11 03:22:23+00:00,11,10,784,3093,3,2016
1106,708109389455101952,2016-03-11 01:56:49+00:00,10,10,501,1797,3,2016
1107,708026248782585858,2016-03-10 20:26:26+00:00,13,10,1748,4061,3,2016
1108,707995814724026368,2016-03-10 18:25:30+00:00,12,10,1013,2863,3,2016
1109,707983188426153984,2016-03-10 17:35:20+00:00,12,10,2,45,3,2016
1110,707969809498152960,2016-03-10 16:42:10+00:00,11,10,866,2482,3,2016
1111,707776935007539200,2016-03-10 03:55:45+00:00,11,10,871,3007,3,2016
